year,packs,wolves,pups.surviving,notes
1995,3,21,9,
1996,9,51,14,
1997,9,86,49,
1998,11,112,36,
1999,11,118,38,
2000,8,119,57.5,number of pups listed as 55-60 in wikipedia
2001,10,132,43,
2002,14,148,58,
2003,13.5,174,59,total number listed as 13-14 in wikiped
2004,16,171,59,
2005,13,118,22,
2006,13,136,60,
2007,11,171,64,
2008,12,124,22,
2009,14,96,23,
2010,11,97,38,
2011,10,98,34,
2012,10,83,20,
2013,10,95,41,
2014,11,104,40,
2015,10,98,35,
2016,11,108,36,
2017,11,97,21,